FID,id,codigo,simt,tipo,clasificac,comuna,zona,eje,desde,hacia,sentido,fila_super,fila_infer,grupo_de_p,identifica,nombre_ust,x,y,zona_paga,n__et,corredor,ubica_corr,rts,tipo_rts,rm,estado_rm,estado,existe_se,codigo_ant,fecha_fich,cod_sol_pa,comentario
6939,6104,L-30-36-100-NS,PG712,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,SAN ADOLFO,SAN LEON GRANDE,N-S,SAN LEàN GRANDE,CAMINO PADRE HURTADO,-,-,SAN LEàN GRANDE / CAMINO PADRE HURTADO,345368.91,6276009.96,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6940,6105,L-30-36-105-SN,PG717,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,EL CERRILLO,SAN LEON GRANDE,S-N,EL CERRILLO,CAMINO PADRE HURTADO,-,-,EL CERRILLO / CAMINO PADRE HURTADO,345390.56,6276004.55,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6941,6106,L-30-36-110-NS,PG713,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,EL CERRILLO,LAS MESETAS,N-S,PJE. LAS MESETAS,CAMINO PADRE HURTADO,-,-,PJE. LAS MESETAS / CAMINO PADRE HURTADO,345469.69,6275879.42,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6942,6107,L-30-36-115-SN,PG716,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,LAS MESETA,LAS MESETAS,S-N,PJE. LAS MESETAS,CAMINO PADRE HURTADO,-,-,PJE. LAS MESETAS / CAMINO PADRE HURTADO,345522.45,6275866.57,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6943,6108,L-30-36-120-SN,PG715,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,,CAMPO DE HIELO,S-N,CAMPOS DE HIELO,CAMINO PADRE HURTADO,-,-,CAMPOS DE HIELO / CAMINO PADRE HURTADO,345771.9,6275564.19,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6944,6109,L-30-36-125-NS,PG714,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,LAS DUNAS,CAMPO DE HIELO,N-S,CAMPOS DE HIELO,CAMINO PADRE HURTADO,-,-,CAMPOS DE HIELO / CAMINO PADRE HURTADO,345744.43,6275544.81,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6945,6110,L-30-37-5-PO,PG1081,PS,ACTIVO,SAN BERNARDO,G,LOS PIRINEOS,STA. MERCEDES,LOS PTALOS,P-O,LOS PTALOS,LOS PIRINEOS,-,-,LOS PTALOS / LOS PIRINEOS,345088.95,6281178.1,0,,,,,,0,,SàLO SE¥AL,SERVIU-Dic/2010,,Oct-11/Cambia Referencia,,
6946,6111,L-30-38-5-SN,PG927,PS,ACTIVO,SAN BERNARDO,G,LOS SUSPIROS,CENTRAL,LOS CANELOS,S-N,LOS CANELOS,LOS SUSPIROS,-,-,LOS CANELOS / LOS SUSPIROS,343254.6,6278871.42,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6947,6112,L-30-38-10-NS,PG987,PS,ACTIVO,SAN BERNARDO,G,LOS SUSPIROS,LOS CANELOS,CENTRAL,N-S,CENTRAL,LOS SUSPIROS,-,-,CENTRAL / LOS SUSPIROS,343199.66,6278706.6,0,,,,,,0,,SIN ANDN,SERVIU-Dic/2010,,,,
6948,6113,L-30-38-10-SN,PG1441,PS,ACTIVO,SAN BERNARDO,G,LOS SUSPIROS,AVENIDA PORTALES ORIENTE,AV CENTRAL,S-N,AV. CENTRAL,LOS SUSPIROS,-,-,AV. CENTRAL / LOS SUSPIROS,343216.99,6278653.41,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
